source,name,matched_db_name,matched_db_id,distance_km,levenshtein,classification,lat,lng,capacity_mw,status,country_code,commissioned_year
osm,Global Tech I,Global Tech I,e8f21142-4a38-47c1-9884-988df8468393,13.9,0,match,54.5010918,6.3661694,400,unknown,,2015
osm,Robin Rigg Offshore Wind Farm,Robin Rigg,b104f47d-22db-4e38-966c-a5031b6fd6a5,10.2,0,match,54.7534076,-3.7134969,174,unknown,,
osm,EnBW Hohe See,EnBW Hohe See,a12be266-dec9-4ece-aefa-4dd0f7279c8e,22.8,0,match,54.4380558,6.3227372,497,unknown,,2019
osm,Triton Knoll Wind Farm,Triton Knoll,4dba7f09-3891-444e-8162-d118166e358a,15.7,0,match,53.4708167,0.845075,857,unknown,,2021
osm,Neart na Gaoithe Wind Farm,Neart na Gaoithe,2f00be80-8d78-4999-a369-cfb46a2fb6ee,12.6,0,match,56.275278,-2.2457256,450,unknown,,2025
osm,Setana Offshore,Samsø Offshore,c67c9a10-f508-4a4e-ac56-f350787e4222,8088.6,4,ambiguous,42.4436791,139.8394191,,unknown,,
osm,Kincardine Offshore Windfarm,Gippsland Offshore Wind,a0e2c2ff-36fd-4e69-bc65-937e30433867,17000.4,12,new,57.0066465,-1.8532605,50,unknown,,2021
osm,Offshore-Windpark-Albatros,Hornsea Two,60b97c81-9883-4f21-8bbf-66483fd2bf9c,293.7,19,new,54.4819625,6.2494105,112,unknown,,2020
osm,Vesterhav Nord,Utsira Nord,5747cbe7-bcb7-4e45-b4d8-4fcd90fd7111,400.6,6,ambiguous,56.5928891,8.0256861,176.4,unknown,,2024
osm,Nissum Bredning Havvindmøller,Sheringham Shoal,151d4e84-d6a1-45da-a9fa-dc5b69b40b99,598.8,20,new,56.6709575,8.2450596,28,unknown,,2018
osm,Seagreen Offshore Wind Farm,Seagreen,8426ba97-5bdb-4572-b9cc-4cedaaf8d5f2,30.2,0,match,56.5954346,-1.7140622,1075,unknown,,2022
wikipedia,Hornsea Project Two,Hornsea Two,60b97c81-9883-4f21-8bbf-66483fd2bf9c,,8,new,,,1386,unknown,,2022
wikipedia,Hornsea Project One,Hornsea One,e5e0429c-74f0-4490-be97-71d9ea9d8604,7.3,8,new,53.885,1.791,1218,unknown,,2019
wikipedia,Seagreen,Seagreen,8426ba97-5bdb-4572-b9cc-4cedaaf8d5f2,28.3,0,match,56.588,-1.741,1075,unknown,,2023
wikipedia,Moray East,Moray East,930ba954-1673-432d-8131-fddcb8f4931f,66.7,0,match,58.16708,-2.69852,950,unknown,,2022
wikipedia,Greater Changhua (1 &amp; 2A),Greater Changhua 1 & 2a,29502b1b-560f-4698-ae66-98a799c32fa5,,4,ambiguous,,,900,unknown,,2024
wikipedia,Moray West,Moray West,92061744-815c-43c6-8d95-73e8d04f374e,55.0,0,match,58.094,-2.988,882,unknown,,2025
wikipedia,Triton Knoll,Triton Knoll,4dba7f09-3891-444e-8162-d118166e358a,8.0,0,match,53.4,0.9,857,unknown,,2021
wikipedia,Hollandse Kust (Zuid) III &amp; IV,Hollandse Kust Zuid 1+2,a0830fa8-b130-495c-831f-b07a966fb687,32.5,10,new,52.366667,4.116667,770,unknown,,2023
wikipedia,Hollandse Kust (Zuid) I &amp; II,Hollandse Kust Zuid 1+2,a0830fa8-b130-495c-831f-b07a966fb687,32.5,8,new,52.366667,4.116667,759,unknown,,2023
wikipedia,Hollandse Kust Noord,Hollandse Kust Noord,0ab338fe-ed48-487a-a969-d881c3e4bda5,23.6,0,match,52.7151,4.251,759,unknown,,2023
wikipedia,Borssele I &amp; II,Borssele II,a11975f2-38e2-4f53-a323-e8033343a518,12.4,6,ambiguous,51.72,3,752,unknown,,2020
wikipedia,Borssele III &amp; IV,Borssele III/IV,ed2ca692-c336-458f-879e-5f7c1edd56dd,17.4,5,ambiguous,51.72,3,731.5,unknown,,2021
