issue_type,wind_farm_name,company_name,details
percentage-total,East Anglia One,,200.00% :: Iberdrola (equity partner: 100.0%); ScottishPower Renewables (owner: 100.0%)
percentage-total,Moray East,,99.90% :: Diamond Generating Europe (equity partner: 33.3%); EDP Renewables (equity partner: 33.3%); PTTEP (equity partner: 33.3%)
percentage-total,Beatrice,,87.50% :: Copenhagen Infrastructure Partners (equity partner: 35.0%); Equinor (equity partner: 12.5%); SSE Renewables (equity partner: 40.0%)
percentage-total,Horns Rev 3,,80.00% :: Vattenfall (equity partner: 80.0%)
percentage-total,Rampion,,75.00% :: E.ON Climate & Renewables (equity partner: 50.0%); Green Investment Group (equity partner: 25.0%)
percentage-total,Sheringham Shoal,,70.00% :: Equinor (equity partner: 40.0%); Statkraft (equity partner: 30.0%)
percentage-total,Gemini,,60.00% :: Northland Power (equity partner: 60.0%)
percentage-total,Triton Knoll,,59.00% :: RWE Renewables (equity partner: 59.0%)
percentage-total,Belwind,,55.00% :: Parkwind (equity partner: 55.0%)
percentage-total,Borssele III/IV,,40.00% :: Eneco (equity partner: 20.0%); Shell (equity partner: 20.0%)
