country_code,canonical_name,duplicate_name,action,reason,confidence,transferred_fields,child_updates,error
DE,Baltic 1,EnBW Baltic 1,merged,developer-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DE,Baltic 2,EnBW Baltic 2,merged,developer-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DE,EnBW Hohe See,Hohe See,merged,generic-name duplicate with weaker geometry,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DE,Borkum Riffgrund 1,Borkum Riffgrund I,merged,roman numeral alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DE,Borkum Riffgrund 2,Borkum Riffgrund II,merged,roman numeral alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DK,Horns Rev 1,Horns Rev I,merged,roman numeral alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DK,Horns Rev 2,Horns Rev II,merged,roman numeral alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DK,Horns Rev 3,Horns Rev III,merged,roman numeral alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DK,Middelgrunden,Middelgrunden wind farm,merged,descriptive suffix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
DK,Samsø Offshore,Samsø,merged,short-name alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
FR,Saint-Nazaire,Saint-Nazaire Offshore Wind Farm,merged,descriptive suffix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
GB,Hornsea One,Hornsea Project One,merged,project-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
GB,Hornsea Two,Hornsea Project Two,merged,project-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
GB,Hornsea Three,Hornsea Project Three,merged,project-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
GB,Hornsea Four,Hornsea Project Four,merged,project-prefix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
NL,Gemini,Gemini Wind Farm,merged,descriptive suffix alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
NL,Borssele I & II,Borssele I–II,merged,punctuation alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
NL,Borssele III & IV,Borssele III–IV,merged,punctuation alias,high,external_ids,"{""contracts"":0,""ownership"":0,""support_schemes"":0,""support_history"":0,""sources"":0,""epc_packages"":0,""epc_roles"":0,""aliases_transferred"":0,""turbines_deduped"":0,""turbines"":0}",
